,ev_id,ntsb_no,ev_date,ev_type,Aircraft_Key,aircraft category,flight purpose,acft_make,acft_model,homebuilt,num_eng,eng_no,eng_type,damage,far_part,regis_no,ev_city,ev_state,ev_country,latitude,longitude,ev_nr_apt_id,apt_name,ev_highest_injury,inj_tot_f,inj_tot_s,inj_tot_m,inj_tot_n,wx_cond_basic,Occurrence_No,broad phase of flight,specific phase of flight,Occurrence
39140,20201209102392,CEN21LA081,2020-11-07,ACC,1.0,Helicopter,Other Work Use,SCHWEIZER,269C,N,1.0,3.0,REC,SUBS,091,N2081G,Rhame,ND,USA,461357N,1033920W,,,NONE,0.0,0.0,0.0,2.0,VMC,3.0,Landing,Landing,Dynamic Rollover
39141,20201113102281,CEN21LA058,2020-11-08,ACC,1.0,Airplane,Personal,TEMCO,GC-1B,N,1.0,1.0,REC,SUBS,091,N77759,Waukegan,IL,USA,422512N,0875212W,UGN,Waukegan National Airport,NONE,0.0,0.0,0.0,2.0,VMC,4.0,Unknown broad phase,Takeoff,Other weather encounter
39142,20201110102262,CEN21LA049,2020-11-08,ACC,1.0,Airplane,Personal,PIPER,PA32,N,1.0,1.0,REC,SUBS,091,N33DW,Circleville,OH,USA,393127N,0825854W,,,NONE,0.0,0.0,0.0,1.0,VMC,2.0,Unknown broad phase,Takeoff,Loss of engine power (total)
39143,20201108102248,CEN21LA044,2020-11-08,ACC,1.0,Airplane,Personal,PIPER,PA-22-135,N,1.0,1.0,REC,DEST,091,N3606A,Dunn Center,ND,USA,471338N,0102310W,,,FATL,1.0,0.0,0.0,0.0,IMC,2.0,Uncontrolled Descent,Uncontrolled Descent,Collision with terr/obj (non-CFIT)
39144,20201109102253,ERA21LA040,2020-11-08,ACC,1.0,Helicopter,Instructional,BELL,206,N,1.0,1.0,TS,SUBS,091,N123NC,Raleigh,NC,USA,354356N,0783743W,3NC2,Garner Road Heliport,NONE,0.0,0.0,0.0,1.0,VMC,2.0,Approach,Approach,Settling with power/vortex ring state
39145,20210310102740,ERA21LA150,2020-11-08,ACC,1.0,Airplane,Personal,AMERICAN CHAMPION AIRCRAFT,7GCBC,N,1.0,1.0,REC,SUBS,091,N139PC,Montgomery,NY,USA,413043N,0741549W,MGJ,ORANGE COUNTY,NONE,0.0,0.0,0.0,2.0,VMC,1.0,Landing,Landing-Landing Roll,Loss of control on ground
39146,20201110102263,ERA21LA041,2020-11-09,ACC,1.0,Airplane,Personal,MOONEY,M20C,N,1.0,1.0,REC,SUBS,091,N3296F,Laconia,NH,USA,433436N,0712414W,LCI,Laconia Municipal,MINR,0.0,0.0,0.0,0.0,VMC,3.0,Approach,Approach-VFR Pattern Final,Collision during takeoff/land
39147,20201123102331,WPR21LA061,2020-11-09,ACC,1.0,Airplane,Personal,CESSNA,172,N,1.0,,,DEST,091,N1444V,Arch Cape,OR,USA,045462N,0123596W,,,FATL,1.0,0.0,0.0,0.0,VMC,1.0,Maneuvering,Maneuvering,Miscellaneous/other
39148,20201109102257,WPR21LA042,2020-11-09,ACC,1.0,Airplane,Instructional,Diamond ,DA40,N,1.0,1.0,REC,SUBS,091,N4117H,Mesa,AZ,USA,332739N,1114342W,FFZ,Falcon Field,MINR,0.0,0.0,0.0,1.0,VMC,1.0,Taxi,Taxi-to Runway,Ground collision
39149,20201111102266,WPR21FA044,2020-11-10,ACC,1.0,Airplane,Personal,PIPER,PA38,N,1.0,1.0,REC,SUBS,091,N6380A,Grass Valley,CA,USA,391127N,1205955W,,,FATL,1.0,0.0,0.0,0.0,VMC,3.0,Landing,Landing,Collision during takeoff/land
39150,20201111102268,WPR21FA045,2020-11-11,ACC,1.0,Airplane,Instructional,CESSNA,177,N,1.0,1.0,REC,SUBS,091,N34633,Langley,WA,USA,004813N,1222616W,W10,Whidbey Air Park,FATL,2.0,0.0,0.0,0.0,VMC,7.0,Enroute,Enroute,Off-field or emergency landing
39151,20201112102271,CEN21LA053,2020-11-11,ACC,1.0,Weight shift,Personal,Trick Trikes,STSS,N,1.0,1.0,REC,DEST,091,N5152E,Holden,MO,USA,384225N,0094021W,,,FATL,1.0,0.0,0.0,0.0,VMC,1.0,Unknown broad phase,Takeoff,Loss of control in flight
