ev_id,Aircraft_Key,eng_no,eng_type,eng_mfgr,eng_model,power_units,hp_or_lbs,lchg_userid,lchg_date,carb_fuel_injection,propeller_type,propeller_make,propeller_model,eng_time_total,eng_time_last_insp,eng_time_overhaul
"20080321X00361",1,1,"REC","Lycoming","O-360",160,"HP",,"09/25/20 18:04:02","CARB",,,,0,0,0
"20080222X00230",1,1,"REC","Subaru","Subaru",,,,"09/25/20 18:04:46",,,,,0,0,0
"20080319X00330",1,1,"REC","Lycoming","O-360-F1AG",180,"HP",,"09/25/20 18:04:02","CARB",,,,0,0,0
"20080208X00159",1,1,"REC","Rotax","582",50,"HP",,"09/25/20 18:06:16","CARB",,,,0,0,0
"20080306X00275",1,1,"REC","Lycoming","O-320",,,,"09/25/20 18:05:31",,,,,0,0,0
"20080212X00177",1,1,"REC","Teledyne Continental","IO-550-N",310,"HP",,"09/25/20 18:06:16","FINJ",,,,0,0,0
"20080213X00181",1,1,"TS","Rolls-Royce Allison","250-C20B",420,"HP",,"09/25/20 18:07:03",,,,,0,0,0
"20080214X00195",1,1,"REC","Rotax","582",,,,"09/25/20 18:05:31",,,,,0,0,0
"20080321X00363",1,1,"REC","Jabiru","3300A",120,"HP",,"09/25/20 18:04:02","CARB",,,,0,0,0
"20080416X00494",1,1,"REC","Lycoming","IO-360-A1B6D",,,"broda","05/17/22 13:29:01",,,,,0,0,0
"20080213X00184",1,1,"REC","Lycoming","O-540",250,"HP",,"09/25/20 18:04:02","CARB",,,,0,0,0
"20080213X00185",1,1,"TS","Rolls-Royce","250-C20B",420,"HP",,"09/25/20 18:04:02",,,,,0,0,0
"20080306X00276",1,1,"REC","Lycoming","O-320-E30",,,,"09/25/20 18:05:31",,,,,0,0,0
"20080322X00368",1,1,"REC","Lycoming","AEIO-360-A1D",,"HP",,"09/25/20 18:05:31","FINJ",,,,0,0,0
"20080321X00362",1,1,"REC","Lycoming","O-320",,,,"09/25/20 18:04:46",,,,,0,0,0
"20080213X00186",1,1,"REC","Lycoming","O-540-B4B5",235,"HP","broda","04/06/22 14:09:35","CARB",,,,0,0,0
"20080219X00210",1,1,"REC","Lycoming","O-360-E1A6D",180,"HP",,"09/25/20 18:06:16","CARB",,,,0,0,0
"20080219X00210",1,2,"REC","Lycoming","LO-360-E1A6D",180,"HP",,"09/25/20 18:06:16","CARB",,,,0,0,0
"20080227X00239",1,1,"REC","Lycoming","IO-320",150,"HP",,"09/25/20 18:05:31","FINJ",,,,0,0,0
"20080312X00301",1,1,"REC","Rotax","582",66,"HP",,"09/25/20 18:06:16","CARB",,,,0,0,0
"20080306X00278",1,1,"REC","Lycoming","IO-540",235,"HP",,"09/25/20 18:05:31",,,,,0,0,0
"20080219X00209",1,1,"REC","Teledyne Continental","TSIO-520 SER",300,"HP",,"09/25/20 18:05:31","FINJ",,,,0,0,0
"20080219X00209",1,2,"REC","Teledyne Continental","TSIO-520 SER",300,"HP",,"09/25/20 18:05:31","FINJ",,,,0,0,0
"20080228X00244",1,1,"REC","Lycoming","IO-360-L2A",180,"HP",,"09/25/20 18:05:31","FINJ",,,,0,0,0
"20080306X00279",1,1,"REC","Teledyne Continental","O-470",,,,"09/25/20 18:07:03",,,,,0,0,0
"20080310X00292",1,1,"TF","Williams","FJ44",,,,"09/25/20 18:07:03",,,,,0,0,0
"20080310X00292",1,2,"TF","Williams","FJ44",,,,"09/25/20 18:07:03",,,,,0,0,0
"20080220X00211",1,1,"REC","Lycoming","IO-360-L2A",180,"HP",,"09/25/20 18:06:16","FINJ",,,,0,0,0
"20080306X00277",1,1,"REC","Lycoming","IO-360-L2A",,,,"09/25/20 18:05:31",,,,,0,0,0
"20080305X00266",1,1,"REC","Lycoming","IO-360-L2A",,,,"09/25/20 18:04:02",,,,,0,0,0
"20080326X00388",1,1,"REC","Teledyne Continental","O-470R",230,"HP",,"09/25/20 18:05:31","CARB",,,,0,0,0
"20080220X00220",1,1,"REC","Continental","IO-520-CB7B",285,"HP",,"09/25/20 18:06:16","FINJ",,,,0,0,0
"20080318X00325",1,1,"REC","Lycoming","O-320-H2AD",160,"HP",,"09/25/20 18:04:02",,,,,0,0,0
"20080415X00487",1,1,"REC","Continental","A&C65",65,"HP",,"09/25/20 18:04:02","CARB",,,,0,0,0
"20080222X00228",1,1,"REC","Teledyne Continental","TSIO-550 C9",310,"HP",,"09/25/20 18:06:16","FINJ",,,,0,0,0
"20080322X00367",1,1,"TP","Pratt & Whitney Canada","PT6A-21",,,,"09/25/20 18:05:31",,,,,0,0,0
"20080322X00367",1,2,"TP","Pratt & Whitney Canada","PT6A-21",,,,"09/25/20 18:05:31",,,,,0,0,0
"20080322X00365",1,1,"REC","Lycoming","O-320",160,"HP",,"09/25/20 18:04:46",,,,,0,0,0
"20080312X00304",1,1,"REC","Lycoming","O-320-B21",,,,"09/25/20 18:04:02","CARB",,,,0,0,0
"20080225X00234",1,1,"REC","Continental","C-85",85,"HP",,"09/25/20 18:06:16",,,,,0,0,0
"20080221X00222",1,1,"REC","Aero Sport Power Ltd","O-320-D1A",160,"HP",,"09/25/20 18:06:16","CARB",,,,0,0,0
"20080516X00689",1,1,"REC","Teledyne Continental Motors","O-470",230,"HP",,"09/25/20 18:06:16","CARB",,,,0,0,0
"20080313X00311",1,1,"REC","Lycoming","O-320-A2B",,,,"09/25/20 18:05:31",,,,,0,0,0
"20080313X00312",1,1,"REC","Lycoming","IO-540-K1A5",,,,"09/25/20 18:06:16",,,,,0,0,0
"20080221X00223",1,1,"REC","Xtreem 360","IO-360-B1AA4",180,"HP",,"09/25/20 18:05:31","FINJ",,,,0,0,0
"20080228X00246",1,1,"REC","Continental","TSIO-520-15B",300,"HP",,"09/25/20 18:06:16","FINJ",,,,0,0,0
"20080318X00329",1,1,"REC","Teledyne Continental","TSO-520L",310,"HP",,"09/25/20 18:06:16","FINJ",,,,0,0,0
"20080318X00329",1,2,"REC","Teledyne Continental","TSO-520L",310,"HP",,"09/25/20 18:06:16","FINJ",,,,0,0,0
"20080222X00229",1,1,"TF","General Electric","CF34-3B1",9244,"LBS",,"09/25/20 18:05:31",,,,,0,0,0
"20080222X00229",1,2,"TF","General Electric","CF34-3B1",9244,"LBS",,"09/25/20 18:05:31",,,,,0,0,0
"20080220X00214",1,1,"TP","Pratt & Whitney Canada","PW123D",2000,"HP",,"09/25/20 18:06:16",,,,,0,0,0
"20080304X00255",1,1,,,,,,,"09/25/20 18:06:16",,,,,0,0,0
"20080220X00221",1,1,"REC","Continental","IO-520",285,"HP","grol","09/25/20 18:07:03","FINJ",,,,0,0,0
"20080220X00215",1,1,"REC","Lycoming","IO-540-C4B5",250,"HP","grol","09/25/20 18:05:31","FINJ",,,,0,0,0
"20080220X00216",1,1,"REC","Teledyne Continental","TSIO-520-K",335,"HP",,"09/25/20 18:06:16","FINJ",,,,0,0,0
"20080222X00231",1,1,"TP","Pratt & Whitney","PT6A-112",,"HP",,"09/25/20 18:04:46",,,,,0,0,0
"20080313X00310",1,1,"REC","Rotax","912 ULS",,,,"09/25/20 18:06:16",,,,,0,0,0
"20080313X00310",1,2,"REC","Rotax","912 ULS",,,,"09/25/20 18:06:16",,,,,0,0,0
"20080326X00387",1,1,"REC","Lycoming","IO-320",160,"HP",,"09/25/20 18:05:31","FINJ",,,,0,0,0
"20080326X00387",1,2,"REC","Lycoming","IO-320",160,"HP",,"09/25/20 18:05:31","FINJ",,,,0,0,0
"20080304X00260",1,1,"TJ","Rolls-Royce","AE3007A1P",8300,"LBS",,"09/25/20 18:04:02",,,,,0,0,0
"20080304X00260",1,2,"TJ","Rolls-Royce","AE3007A1P",8300,"LBS",,"09/25/20 18:04:02",,,,,0,0,0
"20080321X00364",1,1,"REC","Continental","IO-550",300,"HP",,"09/25/20 18:07:03","FINJ",,,,0,0,0
"20080228X00243",1,1,"TF","Pratt & Whitney","JT8D-219",21000,"LBS",,"09/25/20 18:04:02",,,,,0,0,0
"20080326X00386",1,1,"REC","Continental","IO-520F",,,,"09/25/20 18:04:46",,,,,0,0,0
"20080319X00337",1,1,"REC","Eggenfellner","H-6",200,"HP",,"09/25/20 18:07:03","FINJ",,,,0,0,0
"20080221X00224",1,1,"TP","Pratt & Whitney Canada","PT6A-20",550,"HP",,"09/25/20 18:07:03",,,,,0,0,0
"20080221X00224",1,2,"TP","Pratt & Whitney Canada","PT6A-20",550,"HP",,"09/25/20 18:07:03",,,,,0,0,0
"20081124X34243",1,1,"TF","General Electric","CF-34-8ES",15000,"LBS",,"11/03/20 20:27:58",,,,,0,0,0
"20081124X34243",1,2,"TF","GENERAL ELECTRIC","CF34",15000,"LBS",,"11/03/20 20:27:58",,,,,0,0,0
"20081124X34243",2,1,"TF","CFM","CFM-56-5B6",23500,"LBS",,"11/03/20 20:27:58",,,,,0,0,0
"20081124X34243",2,2,"TF","CFM","CFM56 5B",23500,"LBS",,"11/03/20 20:27:58",,,,,0,0,0
"20080411X00460",1,1,"REC","Lycoming","O-360",,,,"09/25/20 18:04:46",,,,,0,0,0
"20080222X00232",1,1,"REC","Teledyne Continental Motor","C90-12F",90,"HP",,"09/25/20 18:06:16","CARB",,,,0,0,0
"20080319X00336",1,1,"REC","Teledyne Continental Motors","IO-550-B5",300,"HP",,"09/25/20 18:04:02","FINJ",,,,0,0,0
"20080330X00399",1,1,"REC","Lycoming","O-320",160,"HP",,"09/25/20 18:05:31","CARB",,,,0,0,0
"20080228X00245",1,1,"TP","Pratt & Whitney","PT6-67D",1279,"HP",,"09/25/20 18:05:31",,,,,0,0,0
"20080228X00245",1,2,"TP","Pratt & Whitney","PT6-67D",1279,"HP",,"09/25/20 18:05:31",,,,,0,0,0
"20080229X00247",1,1,"REC","CONT MOTOR","IO-470E",260,"HP",,"09/25/20 18:07:03","FINJ",,,,0,0,0
"20080305X00267",1,1,"TF","CFM International","CFM-56",,,,"09/25/20 18:05:31",,,,,0,0,0
"20080305X00267",1,2,"TF","CFM International","CFM-56",,,,"09/25/20 18:05:31",,,,,0,0,0
"20080310X00290",1,1,"REC","Volkswagen","Typ 1",65,"HP",,"09/25/20 18:04:02","CARB",,,,0,0,0
"20080408X00440",1,1,,"CONT MOTOR","IO 520 SERIES",285,"HP",,"09/25/20 18:07:03",,,,,0,0,0
"20080403X00424",1,1,"REC","Continental","O-470J",230,"HP",,"09/25/20 18:05:31","CARB",,,,0,0,0
"20080227X00237",1,1,"REC","Continental","IO-470-VO",260,"HP",,"11/03/20 20:28:00","FINJ",,,,0,0,0
"20080227X00237",1,2,"REC","Continental","IO-470-VO",260,"HP",,"11/03/20 20:28:00","FINJ",,,,0,0,0
"20080227X00238",1,1,"REC","LYCOMING","O-320-D3G",160,"HP",,"11/03/20 20:28:00","CARB",,,,0,0,0
